start_sec,end_sec,singer,text
7.800,10.300,P,내 맘이 톡! 하고 터질 것 같아
10.300,11.900,P,Ready? Here we go!
11.900,14.200,P,나른한 오후 쏟아지는 Sun
14.200,16.400,P,창문을 열어 불어오는 Wind (So cool)
16.400,18.100,P,따가운 햇살 아래 반짝이는 너
18.100,20.800,P,마치 오아시스 같아 (I’m thirsty)
20.800,24.400,M,한 모금 마신 듯 짜릿해져 와
24.400,27.800,M,"Can’t stop, 이 떨림은 Real"
33.700,31.000,P,투명한 얼음 속에 갇힌
31.000,35.700,P,나의 맘을 녹여내
35.700,39.200,M,(Melting down)
39.200,41.400,P,점점 더 차오르는 탄산처럼
41.400,44.100,M,"(One, Two, Three, Dive!)"
44.100,48.300,P,You’re my Blue Lemonade
48.300,51.700,P,상큼하게 Pop! 터져버린 내 맘
51.700,53.600,P,하늘 위로 날아오를 듯해 So High
53.600,56.000,P,(Ooh-ooh) 온 세상이 다 Blue
56.000,59.500,P,(Yeah-yeah) 너에게로 Zoom Zoom
59.500,69.700,M,망설이지 마 Just take a sip
69.700,71.900,P,달콤하고 짜릿한 우리 둘의 Paradise
71.900,74.200,P,"Wait a minute, 잠깐만 Hold on"
74.200,76.400,P,머릿속이 핑 돌아 Like a roller coaster (Ride)
76.400,78.000,P,레몬 향기 가득 번져 Sour and Sweet
78.000,81.800,P,복잡한 고민들은 Throw away
81.800,86.000,M,지금 이 순간만 즐겨봐 Play!
86.000,89.400,P,뜨거운 태양도 우릴 막지 못해
89.400,91.300,P,이 계절의 끝까지 함께 가볼래
91.300,97.200,M,(Forever young)
97.200,99.600,P,너의 손을 잡고 Run away!
99.600,103.900,ALL,You’re my Blue Lemonade (My Lemonade!)
103.900,107.600,ALL,영원토록 Pop! 빛이 나는 이 밤
107.600,109.600,P,꿈을 꾸듯 빠져들어 가 So Deep
109.600,111.700,P,Ooh 너와 나의 View
111.700,115.700,P,(Yeah-yeah) 완벽해진 True True
115.700,120.700,P,느껴봐 지금 This feeling
120.700,129.500,M,시원하게 터지는 사랑스런 Paradise
129.500,132.400,P,"La la la la la, Blue Lemonade"
132.400,135.400,P,So fresh!
